000b0143-a50d-4869-9462-78fd07ff55fd,Duri,5K-17C,Duri 10934,5K-17C,Drill and Complete,DRL01 - Drill Hole,Land Drilling Rig,ACS-019,GRK2/402/2220135DR,2022-05-21 22:15:00,2022-05-23 07:00:00,2022-05-28 05:00:00,COMPLETE,2025-01-12 02:45:58,2025-01-12 02:45:58
0015372a-4162-47f2-983f-36c144e097f8,Balam So,P_BLSO24_LQR01,Balam So 00568,O-W1-24D,Drill and Complete,DRL01 - Drill Hole,Land Drilling Rig,AIRLANGGA-99,SSE2/402/3230323DR,2023-11-29 23:00:00,2023-12-12 13:00:00,2023-12-19 00:00:00,COMPLETE,2025-01-12 02:46:02,2025-01-12 02:46:02
0020d4d4-921a-4a47-898b-b152578ba86f,Petani,PETA23_P12,Petani 00178,O-O-85F,Drill and Complete,DRL01 - Drill Hole,Land Drilling Rig,ABI-88,SSM2/402/3230291DR,2023-06-20 00:00:00,2023-06-23 10:00:00,2023-07-10 16:00:00,COMPLETE,2025-01-12 02:45:57,2025-01-12 02:45:57
002b6c87-7183-437d-b6bd-05b49f21d4bb,Balam So,BLSO23-LQR-TE070,Balam So 00524,N1-O-83E,Drill and Complete,DRL01 - Drill Hole,Land Drilling Rig,PDSI-50.2,SSO2/402/3220417DR,2023-05-13 00:00:00,2023-05-13 00:00:00,2023-05-25 12:00:00,COMPLETE,2025-01-12 02:46:09,2025-01-12 02:46:09
003d70f3-fd68-487f-973b-dc34b6211208,Kotabatak,KOTA21_P_TE_INJ_1,Kotabatak 00458,N1-W1-46A,Drill and Suspend,DRL01 - Drill Hole,Land Drilling Rig,ACS-021,GRK2/402/3210102DR,2021-10-01 03:00:00,2021-10-05 19:00:00,2021-10-15 09:00:00,COMPLETE,2025-01-12 02:46:00,2025-01-12 02:46:00
00791a1e-6347-45a9-84e8-696fef4caf18,Balam So,BLSO23-LQR-TE022,Balam So 00535,N1-W1-27A,Drill and Suspend,DRL01 - Drill Hole,Land Drilling Rig,BN-18,SSO2/402/3220416DR,2023-08-11 16:30:00,2023-08-11 16:30:00,2023-08-17 02:00:00,COMPLETE,2025-01-12 02:46:07,2025-01-12 02:46:07
008ae752-49d8-40b1-9dc4-6fd24e8aebc7,Minas,P_4A-44,Minas 02025,4A-44,Drill and Complete,DRL01 - Drill Hole,Land Drilling Rig,ACS-024,SSO2/402/3220527DR,2022-10-29 00:00:00,2022-10-29 00:00:00,2022-11-13 20:00:00,COMPLETE,2025-01-12 02:46:00,2025-01-12 02:46:00
009729ef-f31e-44c3-b0c3-25bc0133553c,Seruni,SRN-P05,Seruni 00059,N2-W3-25A,Drill and Complete,DRL01 - Drill Hole,Land Drilling Rig,PDSI-52.2,GRK2/402/2210038DR,2022-04-18 13:00:00,2022-04-26 23:00:00,2022-05-07 00:00:00,CANCELED,2025-01-12 02:46:10,2025-01-12 02:46:10
00ef3ef2-8afd-42bd-a931-af7a9bd521da,Duri,2J-0210B,Duri 11174,2J-0210B,Drill and Complete,DRL01 - Drill Hole,Land Drilling Rig,ACS-017,RHO2/402/2220781DR,2024-02-06 05:00:00,2024-02-10 13:00:00,2024-02-19 21:00:00,COMPLETE,2025-01-12 02:45:58,2025-01-12 02:45:58
010a18bb-65c3-402e-8a49-6153cc816a3b,Balam So,P_BLSO24_LQR07,Balam So 00589,N1-W1-73G,Drill and Complete,DRL01 - Drill Hole,Land Drilling Rig,AIRLANGGA-55,SSE2/402/3230361DR,2024-02-14 06:00:00,2024-02-23 06:00:00,2024-03-02 06:00:00,COMPLETE,2025-01-12 02:46:01,2025-01-12 02:46:01
