41a7f4f9-eca6-4f98-b4ba-e78e1ea643ff,2024-12-02,02:00:00,Incoming,Drilling Site,Load,37,Central,CMTF-Arak,ee3cb506-a028-4b40-9f70-fb5315a32886,f216658e-4da9-418a-b601-bac98a0bd3bf,2024-12-29 20:56:58,2024-12-29 20:56:58
9c976d86-7992-4c71-9d63-d4441716d0a6,2024-12-02,02:00:00,Incoming,Mud Pit Closure,Load,4,Central,CMTF-Arak,ee3cb506-a028-4b40-9f70-fb5315a32886,f216658e-4da9-418a-b601-bac98a0bd3bf,2024-12-29 20:56:58,2024-12-29 20:56:58
9cae2d3d-f64e-4dab-8efe-bb0214131824,2024-12-02,02:00:00,Outgoing,Treated Water,Load,24,Central,SMF-Arak,ee3cb506-a028-4b40-9f70-fb5315a32886,f216658e-4da9-418a-b601-bac98a0bd3bf,2024-12-29 20:56:58,2024-12-29 20:56:58
97645951-eb02-4a56-adab-f0b5507f6bcc,2024-12-02,02:00:00,Outgoing,Treated Water,Load,7,Central,Bekasap GS,ee3cb506-a028-4b40-9f70-fb5315a32886,f216658e-4da9-418a-b601-bac98a0bd3bf,2024-12-29 20:56:58,2024-12-29 20:56:58
9e63b6de-3688-47b9-8a08-73b5e5663a4e,2024-12-02,02:00:00,Outgoing,Treated Water,Load,7,Central,Petani GS,ee3cb506-a028-4b40-9f70-fb5315a32886,f216658e-4da9-418a-b601-bac98a0bd3bf,2024-12-29 20:56:58,2024-12-29 20:56:58
982311df-b20f-4ff7-ae2e-1ef1f42e70d4,2024-12-02,02:00:00,Production,Permeate,m3,240,Central,CMTF-Arak,ee3cb506-a028-4b40-9f70-fb5315a32886,f216658e-4da9-418a-b601-bac98a0bd3bf,2024-12-29 20:56:58,2024-12-29 20:56:58
e798d590-3763-4b5d-914a-115a49a11f42,2024-12-02,04:00:00,Incoming,Drilling Site,Load,37,Central,CMTF-Arak,ee3cb506-a028-4b40-9f70-fb5315a32886,f216658e-4da9-418a-b601-bac98a0bd3bf,2024-12-29 20:56:58,2024-12-29 20:56:58
a6146dde-2149-44ca-874b-129f1242f719,2024-12-02,04:00:00,Incoming,Mud Pit Closure,Load,4,Central,CMTF-Arak,ee3cb506-a028-4b40-9f70-fb5315a32886,f216658e-4da9-418a-b601-bac98a0bd3bf,2024-12-29 20:56:58,2024-12-29 20:56:58
c0810aa5-2cfa-4ff1-b9f8-dccfdaa392e1,2024-12-02,04:00:00,Outgoing,Treated Water,Load,24,Central,SMF-Arak,ee3cb506-a028-4b40-9f70-fb5315a32886,f216658e-4da9-418a-b601-bac98a0bd3bf,2024-12-29 20:56:58,2024-12-29 20:56:58
49e53621-833e-4323-86af-bade1ed7b3cf,2024-12-02,04:00:00,Outgoing,Treated Water,Load,7,Central,Bekasap GS,ee3cb506-a028-4b40-9f70-fb5315a32886,f216658e-4da9-418a-b601-bac98a0bd3bf,2024-12-29 20:56:58,2024-12-29 20:56:58
6c4fe7a9-9e05-4c1c-a88c-40537a1c4de5,2024-12-02,04:00:00,Outgoing,Treated Water,Load,7,Central,Petani GS,ee3cb506-a028-4b40-9f70-fb5315a32886,f216658e-4da9-418a-b601-bac98a0bd3bf,2024-12-29 20:56:58,2024-12-29 20:56:58
167dbb2f-f664-4e12-8e76-b91903ad1e79,2024-12-02,04:00:00,Production,Permeate,m3,240,Central,CMTF-Arak,ee3cb506-a028-4b40-9f70-fb5315a32886,f216658e-4da9-418a-b601-bac98a0bd3bf,2024-12-29 20:56:58,2024-12-29 20:56:58
